sampleSize,readCapacityUnits,writeCapacityUnits,provider,clear,load,get,update,delete,scan
1000,10,5,NOSQL,59.0926671,62.628301,14.7259744,18.3760232,53.2115285,0.3255969
1000,10,5,MSSQL,138.0197137,139.0851822,31.7467752,33.4639216,34.5439389,1.0127684
